Target,Source
iudea,Alanus
ungula,Alanus
aquilo,Alanus
uiscus,Alanus
parturio,Alanus
aries,Alanus
zizania,Alanus
uultur,Alanus
tonitrus,Alanus
antrum,Alanus
hiems,Alanus
uilua,Alanus
cardo,Alanus
ferus,Alanus
maceria,Alanus
nolo,Alanus
onus,Alanus
telum,Alanus
ostium,Alanus
holocaustum,Alanus
uter,Alanus
tribuo,Alanus
tantus,Alanus
lana,Alanus
hinnulus,Alanus
nix,Alanus
lego,Alanus
crus,Alanus
purgo,Alanus
aruinus,Alanus
calculus,Alanus
callis,Alanus
polluo,Alanus
miror,Alanus
diplois,Alanus
minister,Alanus
buccina,Alanus
secundus,Alanus
asinus,Alanus
tignum,Alanus
ecce,Alanus
uestio,Alanus
acies,Alanus
dromedarius,Alanus
locusta,Alanus
catena,Alanus
memor,Alanus
animal,Alanus
plenus,Alanus
pinguedo,Alanus
mater,Alanus
pharetra,Alanus
cutis,Alanus
ludo,Alanus
rhamnus,Alanus
scabellum,Alanus
gula,Alanus
cophinus,Alanus
ursus,Alanus
impleo,Alanus
uoluptas,Alanus
arca,Alanus
trado,Alanus
uertex,Alanus
sacrus,Alanus
primitie,Alanus
bibo,Alanus
soror,Alanus
ficus,Alanus
conuenio,Alanus
casus,Alanus
serra,Alanus
chamus,Alanus
infero,Alanus
compositio,Alanus
insula,Alanus
uilla,Alanus
littera,Alanus
humilis,Alanus
pulchritudo,Alanus
adeps,Alanus
carmelus,Alanus
buxus,Alanus
fragmen,Alanus
pupillus,Alanus
securis,Alanus
mortalis,Alanus
truncus,Alanus
circuio,Alanus
lactuca,Alanus
uelamentum,Alanus
pascuum,Alanus
stipula,Alanus
cito,Alanus
sermo,Alanus
contero,Alanus
speculum,Alanus
spolium,Alanus
tectum,Alanus
acus,Alanus
aresco,Alanus
mercenarius,Alanus
fimbria,Alanus
dorsum,Alanus
mamma,Alanus
stagnum,Alanus
sudarium,Alanus
botrus,Alanus
uetus,Alanus
minimus,Alanus
potus,Alanus
struthio,Alanus
sterilis,Alanus
ericius,Alanus
columna,Alanus
lauacrum,Alanus
uocalis,Alanus
penna,Alanus
exsurgo,Alanus
uapor,Alanus
crocus,Alanus
eruca,Alanus
principatus,Alanus
pupilla,Alanus
uultus,Alanus
gutta,Alanus
accipiter,Alanus
sycomorus,Alanus
orbis,Alanus
laquearium,Alanus
iaculum,Alanus
usura,Alanus
tentorium,Alanus
quadruplex,Alanus
cauda,Alanus
opportunitas,Alanus
uectis,Alanus
arista,Alanus
odio,Alanus
gigno,Alanus
luceo,Alanus
dulcis,Alanus
fistula,Alanus
motus,Alanus
cera,Alanus
pasco,Alanus
renis,Alanus
concubina,Alanus
mandragora,Alanus
thronus,Alanus
contra,Alanus
cibo,Alanus
transfiguro,Alanus
triumpho,Alanus
ouilis,Alanus
formo,Alanus
saxum,Alanus
greek.expression,Alanus
sulcus,Alanus
thesaurizo,Alanus
uuum,Alanus
ue,Alanus
sicut,Alanus
maxilla,Alanus
permitto,Alanus
pecus,Alanus
uallis,Alanus
ulmus,Alanus
senex,Alanus
fex,Alanus
pactum,Alanus
dux,Alanus
testamentum,Alanus
asto,Alanus
farina,Alanus
predestinatio,Alanus
institor,Alanus
solium,Alanus
sopor,Alanus
aspis,Alanus
potestas,Alanus
collum,Alanus
saliunca,Alanus
moueo,Alanus
uomer,Alanus
basiliscus,Alanus
plumbum,Alanus
sino,Alanus
terribilis,Alanus
caprea,Alanus
platanus,Alanus
draco,Alanus
lagena,Alanus
aloe,Alanus
uiror,Alanus
uisito,Alanus
postulo,Alanus
estus,Alanus
probo,Alanus
canalis,Alanus
costa,Alanus
principium,Alanus
pleiades,Alanus
basis,Alanus
crystallus,Alanus
cano,Alanus
pomum,Alanus
marmor,Alanus
flatus,Alanus
scio,Alanus
uena,Alanus
nihil,Alanus
arena,Alanus
similitudo,Alanus
tigris,Alanus
res,Alanus
psalmus,Alanus
quercus,Alanus
salus,Alanus
nux,Alanus
iacio,Alanus
olla,Alanus
fodio,Alanus
profundum,Alanus
eternum,Alanus
onocentaurus,Alanus
linum,Alanus
proximus,Alanus
semino,Alanus
statura,Alanus
pascha,Alanus
coma,Alanus
tabesco,Alanus
abio,Alanus
umbilicus,Alanus
later,Alanus
torcular,Alanus
ueper,Alanus
grando,Alanus
concupisco,Alanus
mulus,Alanus
rupes,Alanus
pullus,Alanus
apis,Alanus
figura,Alanus
uagina,Alanus
thuribulum,Alanus
tunc,Alanus
clypeus,Alanus
populus,Alanus
uiuo,Alanus
parco,Alanus
lancea,Alanus
pardus,Alanus
titulus,Alanus
tempestas,Alanus
hircus,Alanus
butyrum,Alanus
thalamus,Alanus
camelus,Alanus
antemurale,Alanus
palmes,Alanus
rana,Alanus
tollo,Alanus
auster,Alanus
piscina,Alanus
babylon,Alanus
annulus,Alanus
uerecundia,Alanus
sinister,Alanus
scintilla,Alanus
miles,Alanus
uentilabrum,Alanus
quadriga,Alanus
denarius,Alanus
solitudo,Alanus
humilio,Alanus
regulus,Alanus
gazophylacium,Alanus
cartilago,Alanus
sacramentum,Alanus
militia,Alanus
primus,Alanus
fel,Alanus
creatura,Alanus
modius,Alanus
suscito,Alanus
lorica,Alanus
trulla,Alanus
angulus,Alanus
forsitan,Alanus
faucis,Alanus
pruna,Alanus
nardus,Alanus
