Alanus_lemmas,Alanus_types,Alanus_nmb,Petrus_lemmas,Petrus_types,Petrus_nmb,Guido_lemmas,Guido_types,Guido_nmb,Maurit_lemmas,Maurit_types,Maurit_nmb,Biard_lemmas,Biard_types,Biard_nmb,Gorran_lemmas,Gorran_types,Gorran_nmb,Angel_lemmas,Angel_types,Angel_nmb
abeo,abeo,1,abel,abel,2,abicio,abicio,1,abeo,abeo,1,abhominor,abhominor,1,abeo,abeo,1,abio,abio,1
abio,abio,1,abel,abicio,2,ambulo,ambulo,2,abhominatio,abhominatio,1,abscondo,abscondo,5,abicio,abicio,1,abortiuus,abortiuus,1
absintium,absintium,1,abicio,abiectio,1,ambulo,ascendo,1,abiectio,abiectio,1,abscondo,abstineo,2,abscondo,abscondo,1,abyssus,abyssus,1
absquo,absquo,1,abicio,ablactatio,1,ascendo,benedictio,1,ablutio,ablutio,1,abscondo,abundantia,2,absconsio,absconsio,1,accipiter,accipiter,1
abyssus,abyssus,1,abiectio,abluo,1,benedictio,certo,1,absconsio,absconsio,1,abscondo,abutor,1,abstineo,abstineo,1,accubitus,accubitus,1
accedo,accedo,1,ablactatio,abscondo,1,certo,christus,4,abstinentia,abstinentia,1,abscondo,accedo,2,abundantia,abundantia,1,aceruus,aceruus,1
accipio,accipio,1,abluo,abstineo,1,christus,circoncido,1,abyssus,abyssus,1,abstineo,accido,1,abundo,abundo,1,acetum,acetum,1
accipiter,accipiter,1,abscondo,abutens:,1,christus,circumcisio,1,accedo,accedo,1,abstineo,accipio,4,accedo,accedo,1,acies,acies,1
accubitus,accubitus,1,abstineo,abutor,1,christus,cognosco,1,accensus,accensus,1,abundantia,acquiro,1,accipio,accipio,1,acus,acus,1
aceruus,aceruus,1,abutens:,abyssus,1,christus,columba,1,accingo,accingo,1,abundantia,adheret,1,accusatio,accusatio,1,adamasaer,adamasaer,1
acetum,acetum,1,abutor,accedo,2,circoncido,confortor,1,accipio,accipio,2,abutor,adiuuo,1,acquiro,acquiro,1,adeps,adeps,1
acies,acies,1,abyssus,accipio,4,circumcisio,conuerto,1,accipio,accubitus,1,accedo,admirabilis,1,adiuuo,adiuuo,1,adolescentula,adolescentula,1
aculeus,aculeus,1,accedo,acerus,1,cognosco,cresco,1,accubitus,accusatio,1,accedo,aduentus,1,adoratio,adoratio,1,aduersarius,aduersarius,1
acus,acus,1,accedo,aceruus,1,columba,curro,1,accusatio,acquiesco,1,accido,aduersarius,2,affero,affero,1,ager,ager,1
adamas,adamas,1,accipio,acriter,1,confortor,custodio,1,acquiesco,acquisitio,1,accipio,adulter,1,ager,ager,1,agnus,agnus,1
adeps,adeps,1,accipio,actio,2,conuerto,deduco,1,acquisitio,addo,1,accipio,affligo,1,agnus,agnus,1,agricola,agricola,1
adolescentula,adolescentula,1,accipio,actiuus,1,cresco,deficio,1,addo,adductio,1,accipio,ager,1,ago,ago,1,ala,ala,1
adoro,adoro,1,accipio,actus,1,curro,desiderium,1,adductio,adherentia,1,accipio,agnus,1,amaritudo,amaritudo,1,albugo,albugo,1
adsum,adsum,1,acerus,adam,1,custodio,diligo,1,adherentia,adimpletio,1,acquiro,ala,1,ambulo,ambulo,1,alienus,alienus,1
aduersus,aduersus,1,aceruus,addisco,1,deduco,dominus,1,adimpletio,adinuentio,1,adheret,alienus,1,amicus,amicus,1,alitus,alitus,1
aer,aer,1,acriter,adhereo,1,deficio,duco,1,adinuentio,adiutorium,1,adiuuo,aliquotiens,1,amor,amor,1,aloe,aloe,1
ager,ager,1,actio,adiutorium,1,desiderium,eligo,1,adiutorium,adolescentia,1,admirabilis,alius,7,ancilla,ancilla,1,altare,altare,1
agnus,agnus,1,actio,admodum,2,diligo,exspecto,1,adolescentia,adoratio,1,aduentus,altare,1,angelus,angelus,2,altilis,altilis,1
ago,ago,1,actiuus,adoratio,5,dominus,filius,1,adoratio,aduena,1,aduersarius,altissimus,1,angelus,angustia,1,altitudo,altitudo,1
agricola,agricola,1,actus,aduentus,1,duco,finis,1,aduena,aduentus,1,aduersarius,amaritudo,1,angustia,anima,1,amica,amica,1
agricultura,agricultura,1,adam,aduerto,1,eligo,fons,1,aduentus,aduersio,1,adulter,amarus,2,anima,aperio,1,amicus,amicus,1
ala,ala,1,addisco,adulatio,1,exspecto,gaudeo,1,aduersio,aduersitas,1,affligo,ambulo,3,aperio,apparitio,1,amigdalum,amigdalum,1
alias,alias,1,adhereo,adulterium,2,filius,gloria,1,aduersitas,affero,1,ager,amicus,2,apparitio,appropinquo,1,amphora,amphora,1
aloe,aloe,1,adiutorium,aduoco,1,finis,habito,1,affero,afflictio,1,agnus,amissio,1,appropinquo,apropinquo,1,anaglypha,anaglypha,1
altare,altare,1,admodum,affectio,2,fons,hereditas,1,afflictio,affluentia,1,ala,ammouo,1,apropinquo,aqua,1,ancilla,ancilla,1
altilis,altilis,1,admodum,affectus,2,gaudeo,humilitas,1,affluentia,ager,1,alienus,amo,2,aqua,ardor,1,angelus,angelus,1
altitudo,altitudo,1,adoratio,affero,1,gloria,induo,1,ager,agnus,1,aliquotiens,amor,1,ardor,argentum,1,angulus,angulus,1
altus,altus,1,adoratio,affligo,2,habito,iudicium,2,agnus,ago,1,alius,angelus,3,argentum,arguo,1,anima,anima,1
amaritudo,amaritudo,1,adoratio,agnus,3,hereditas,lauo,1,ago,ala,1,alius,angustia,1,arguo,arma,1,animal,animal,1
ambitio,ambitio,1,adoratio,agyographum,1,humilitas,libero,1,ala,alimentum,1,alius,anima,15,arma,ascendo,1,annulus,annulus,1
ambitus,ambitus,1,adoratio,alienus,1,induo,malus,1,alimentum,altare,1,alius,animus,1,ascendo,aspicio,1,annus,annus,1
ambulo,ambulo,1,aduentus,alius,5,iudicium,ministerium,1,altare,altitudo,1,alius,aperio,5,aspicio,assumo,1,antemurale,antemurale,1
amen,amen,1,aduerto,alleluia,2,iudicium,missus,1,altitudo,amaritudo,1,alius,apostolus,1,assumo,attendo,1,antrum,antrum,1
