Id,Attribute
lecythus,lemma
augmentum,lemma
habitus,lemma
arcus,lemma
currus,lemma
euuangelium,lemma
grauis,lemma
rethe,lemma
ue,lemma
iocunditas,lemma
lagena,lemma
nascor,lemma
labrusca,lemma
inuitatio,lemma
inflatio,lemma
mortuus,lemma
caminus,lemma
lamentum,lemma
stabilis,lemma
postulatio,lemma
uuauis,lemma
hylaritas,lemma
semel,lemma
presaepe,lemma
beatus,lemma
hedus,lemma
quinquagenarius,lemma
transgressio,lemma
uetus,lemma
manica,lemma
compositio,lemma
confractio,lemma
insula,lemma
uespertilio,lemma
hydria,lemma
uireo,lemma
donec,lemma
cingulum,lemma
confitebor,lemma
iniquus,lemma
naturalis,lemma
paruus,lemma
germino,lemma
onocentaurus,lemma
odium,lemma
iudas,lemma
secretum,lemma
messis,lemma
iuues,lemma
recessus,lemma
nudus,lemma
conturbatio,lemma
desidero,lemma
salubriter,lemma
capud,lemma
propugnaculum,lemma
diuersio,lemma
obuio,lemma
pauimentum,lemma
halitus,lemma
aspectus,lemma
fundatio,lemma
leuis,lemma
bonus,lemma
aurora,lemma
uermum,lemma
enarratio,lemma
ordeum,lemma
calcaneum,lemma
defectus,lemma
diligentia,lemma
spiraculum,lemma
consortium,lemma
tribulus,lemma
numero,lemma
addisco,lemma
uterque,lemma
stellio,lemma
putridus,lemma
lectulus,lemma
alius,lemma
scala,lemma
nuditas,lemma
fornax,lemma
herodius,lemma
mendacium,lemma
inuestigabilis,lemma
lego,lemma
tcio,lemma
speculatio,lemma
metueo,lemma
uenundo,lemma
terror,lemma
facilis,lemma
cecitas,lemma
incommodum,lemma
stabulum,lemma
inspico,lemma
axis,lemma
rectitudo,lemma
remedium,lemma
disceptatio,lemma
excisio,lemma
palpebr,lemma
reddo,lemma
hospito,lemma
tollo,lemma
castellum,lemma
demonium,lemma
incipio,lemma
paupertas,lemma
absquo,lemma
crassitudo,lemma
supercilium,lemma
militao,lemma
pretium,lemma
contentio,lemma
imperium,lemma
aduentus,lemma
uomitus,lemma
diligo,lemma
innocens,lemma
uelamen,lemma
subiectio,lemma
spiritus,lemma
humanus,lemma
renuo,lemma
uenio,lemma
munitio,lemma
penitentes,lemma
timo,lemma
tinctura,lemma
matutinus,lemma
compeo,lemma
cogito,lemma
figura,lemma
infidelis,lemma
ululatus,lemma
uigilis,lemma
quomodo,lemma
brachium,lemma
gula,lemma
panis,lemma
fictio,lemma
imbecillitas,lemma
ulula,lemma
barbarus,lemma
cognito,lemma
rego,lemma
pagina,lemma
odio,lemma
magnitudo,lemma
dilectio,lemma
gusto,lemma
reconciliatio,lemma
uasus,lemma
iacio,lemma
pellis,lemma
