Target;Source
abiectio;Maurit, Petrus
abio;Alanus, Angel
absconsio;Gorran, Maurit
abundantia;Biard, Gorran
abutor;Biard, Petrus
accipiter;Alanus, Angel
accusatio;Gorran, Maurit
acetum;Alanus, Angel
acies;Alanus, Angel
acquiro;Biard, Gorran
acus;Alanus, Angel
adeps;Alanus, Angel
adiutorium;Maurit, Petrus
adiuuo;Biard, Gorran
adolescentula;Alanus, Angel
aduersarius;Angel, Biard
affligo;Biard, Petrus
agricola;Alanus, Angel
alius;Biard, Petrus
aloe;Alanus, Angel
altilis;Alanus, Angel
amen;Alanus, Petrus
amo;Biard, Petrus
anathema;Maurit, Petrus
angulus;Alanus, Angel
animal;Alanus, Angel
animalis;Alanus, Petrus
animus;Biard, Petrus
annulus;Alanus, Angel
antemurale;Alanus, Angel
antrum;Alanus, Angel
apis;Alanus, Angel
apostolus;Biard, Petrus
appareo;Biard, Petrus
apparitio;Gorran, Maurit
appeto;Biard, Petrus
appropinquo;Gorran, Petrus
aquilo;Alanus, Angel
aratrum;Alanus, Angel
arca;Alanus, Angel
arcus;Alanus, Angel
ardor;Gorran, Maurit
area;Alanus, Angel
arena;Alanus, Angel
areola;Alanus, Angel
aresco;Alanus, Biard
ariditas;Biard, Maurit
aries;Alanus, Angel
arista;Alanus, Angel
armo;Angel, Petrus
aromum;Alanus, Maurit
artifex;Alanus, Angel
aruinus;Alanus, Angel
ascensus;Angel, Maurit
asinus;Alanus, Angel
aspicio;Biard, Gorran
aspis;Alanus, Angel
asto;Alanus, Maurit
attendo;Gorran, Maurit
auaricia;Biard, Petrus
auarus;Biard, Petrus
auster;Alanus, Angel
azymus;Alanus, Angel
babylon;Alanus, Angel
balteus;Angel, Maurit
baptismus;Alanus, Petrus
basiliscus;Alanus, Angel
basis;Alanus, Angel
bene;Biard, Petrus
beneficium;Biard, Maurit
beneplacitum;Biard, Maurit
bibo;Alanus, Maurit
blasphemia;Maurit, Petrus
bonitas;Biard, Maurit
bonum;Biard, Petrus
bos;Alanus, Angel
botrus;Alanus, Angel
bruchus;Alanus, Angel
buccina;Alanus, Angel
butyrum;Alanus, Angel
