,lemma,source,collection_count,is_unique
0,lemma,anonymous_angelus.predicted_лем.csv,7.0,False
1,angelus,anonymous_angelus.predicted_лем.csv,6.0,False
2,anima,anonymous_angelus.predicted_лем.csv,6.0,False
3,Abyssus,anonymous_angelus.predicted_лем.csv,4.0,False
4,Abies,anonymous_angelus.predicted_лем.csv,2.0,False
5,Abortiuum,anonymous_angelus.predicted_лем.csv,1.0,True
6,accipiter,anonymous_angelus.predicted_лем.csv,2.0,False
7,Acetum,anonymous_angelus.predicted_лем.csv,2.0,False
8,Acies,anonymous_angelus.predicted_лем.csv,2.0,False
9,aceruus,anonymous_angelus.predicted_лем.csv,3.0,False
10,accubitus,anonymous_angelus.predicted_лем.csv,3.0,False
11,Acus,anonymous_angelus.predicted_лем.csv,2.0,False
12,adolescentula,anonymous_angelus.predicted_лем.csv,2.0,False
13,Adeps,anonymous_angelus.predicted_лем.csv,2.0,False
14,Adamas,anonymous_angelus.predicted_лем.csv,2.0,False
15,aer,anonymous_angelus.predicted_лем.csv,2.0,False
16,ager,anonymous_angelus.predicted_лем.csv,5.0,False
17,agnus,anonymous_angelus.predicted_лем.csv,6.0,False
18,Agricola,anonymous_angelus.predicted_лем.csv,2.0,False
19,altare,anonymous_angelus.predicted_лем.csv,5.0,False
20,alitus,anonymous_angelus.predicted_лем.csv,1.0,True
21,Ala,anonymous_angelus.predicted_лем.csv,2.0,False
22,alienus,anonymous_angelus.predicted_лем.csv,3.0,False
23,altitudo,anonymous_angelus.predicted_лем.csv,4.0,False
24,Albugus,anonymous_angelus.predicted_лем.csv,1.0,True
25,Aloe,anonymous_angelus.predicted_лем.csv,1.0,True
26,altilis,anonymous_angelus.predicted_лем.csv,2.0,False
27,amicus,anonymous_angelus.predicted_лем.csv,5.0,False
28,Amphora,anonymous_angelus.predicted_лем.csv,1.0,True
29,Amigdalus,anonymous_angelus.predicted_лем.csv,1.0,True
30,annulus,anonymous_angelus.predicted_лем.csv,1.0,True
31,annus,anonymous_angelus.predicted_лем.csv,3.0,False
32,Ancilla,anonymous_angelus.predicted_лем.csv,3.0,False
33,anaglypha,anonymous_angelus.predicted_лем.csv,1.0,True
34,antrum,anonymous_angelus.predicted_лем.csv,2.0,False
35,antemurale,anonymous_angelus.predicted_лем.csv,2.0,False
36,animal,anonymous_angelus.predicted_лем.csv,2.0,False
37,angulus,anonymous_angelus.predicted_лем.csv,2.0,False
38,Apis,anonymous_angelus.predicted_лем.csv,1.0,True
39,aper,anonymous_angelus.predicted_лем.csv,1.0,True
40,aquilo,anonymous_angelus.predicted_лем.csv,2.0,False
41,aqua,anonymous_angelus.predicted_лем.csv,6.0,False
42,aquila,anonymous_angelus.predicted_лем.csv,3.0,False
43,Arturus,anonymous_angelus.predicted_лем.csv,1.0,True
44,Arista,anonymous_angelus.predicted_лем.csv,2.0,False
45,arcus,anonymous_angelus.predicted_лем.csv,2.0,False
46,argentum,anonymous_angelus.predicted_лем.csv,4.0,False
47,Aries,anonymous_angelus.predicted_лем.csv,2.0,False
48,armilla,anonymous_angelus.predicted_лем.csv,1.0,True
49,Arena,anonymous_angelus.predicted_лем.csv,2.0,False
50,armum,anonymous_angelus.predicted_лем.csv,4.0,False
51,Archaarca,anonymous_angelus.predicted_лем.csv,1.0,True
52,Arula,anonymous_angelus.predicted_лем.csv,1.0,True
53,armo,anonymous_angelus.predicted_лем.csv,2.0,False
54,artifex,anonymous_angelus.predicted_лем.csv,2.0,False
55,Aruina,anonymous_angelus.predicted_лем.csv,2.0,False
56,artus,anonymous_angelus.predicted_лем.csv,1.0,True
57,area,anonymous_angelus.predicted_лем.csv,2.0,False
58,arbor,anonymous_angelus.predicted_лем.csv,4.0,False
59,Aromata,anonymous_angelus.predicted_лем.csv,1.0,True
60,areola,anonymous_angelus.predicted_лем.csv,2.0,False
61,Aranea,anonymous_angelus.predicted_лем.csv,4.0,False
62,armentum,anonymous_angelus.predicted_лем.csv,1.0,True
63,Arua,anonymous_angelus.predicted_лем.csv,1.0,True
64,aratrum,anonymous_angelus.predicted_лем.csv,2.0,False
65,Astra,anonymous_angelus.predicted_лем.csv,1.0,True
66,ascensus,anonymous_angelus.predicted_лем.csv,2.0,False
67,ascensor,anonymous_angelus.predicted_лем.csv,1.0,True
68,Asinus,anonymous_angelus.predicted_лем.csv,2.0,False
69,Asina,anonymous_angelus.predicted_лем.csv,1.0,True
70,Aspis,anonymous_angelus.predicted_лем.csv,2.0,False
71,atrium,anonymous_angelus.predicted_лем.csv,4.0,False
72,Aurora,anonymous_angelus.predicted_лем.csv,3.0,False
73,Auster,anonymous_angelus.predicted_лем.csv,2.0,False
74,aurum,anonymous_angelus.predicted_лем.csv,6.0,False
75,auris,anonymous_angelus.predicted_лем.csv,4.0,False
76,Auriga,anonymous_angelus.predicted_лем.csv,1.0,True
77,vuis,anonymous_angelus.predicted_лем.csv,4.0,False
78,axo,anonymous_angelus.predicted_лем.csv,1.0,True
79,Azyma,anonymous_angelus.predicted_лем.csv,2.0,False
80,aduersarius,anonymous_angelus.predicted_лем.csv,2.0,False
81,Babylon,anonymous_angelus.predicted_лем.csv,2.0,False
82,Baculus,anonymous_angelus.predicted_лем.csv,4.0,False
83,Balteusbalteus,anonymous_angelus.predicted_лем.csv,1.0,True
84,barba,anonymous_angelus.predicted_лем.csv,3.0,False
85,brachium,anonymous_angelus.predicted_лем.csv,4.0,False
86,branchia,anonymous_angelus.predicted_лем.csv,1.0,True
87,Bases,anonymous_angelus.predicted_лем.csv,1.0,True
88,Basiliscus,anonymous_angelus.predicted_лем.csv,2.0,False
89,Batus,anonymous_angelus.predicted_лем.csv,1.0,True
90,bellum,anonymous_angelus.predicted_лем.csv,4.0,False
91,Bechemothbeemoth,anonymous_angelus.predicted_лем.csv,1.0,True
92,Bestia,anonymous_angelus.predicted_лем.csv,3.0,False
93,Byssus,anonymous_angelus.predicted_лем.csv,2.0,False
94,bitumen,anonymous_angelus.predicted_лем.csv,1.0,True
95,binarius,anonymous_angelus.predicted_лем.csv,1.0,True
96,Botrus,anonymous_angelus.predicted_лем.csv,2.0,False
97,Bos,anonymous_angelus.predicted_лем.csv,2.0,False
98,buccina,anonymous_angelus.predicted_лем.csv,2.0,False
99,Bruchus,anonymous_angelus.predicted_лем.csv,2.0,False
100,butyrum,anonymous_angelus.predicted_лем.csv,2.0,False
101,buxus,anonymous_angelus.predicted_лем.csv,2.0,False
102,vadauer,anonymous_angelus.predicted_лем.csv,2.0,False
103,caligo,anonymous_angelus.predicted_лем.csv,3.0,False
104,calor,anonymous_angelus.predicted_лем.csv,3.0,False
105,calix,anonymous_angelus.predicted_лем.csv,6.0,False
106,calamus,anonymous_angelus.predicted_лем.csv,3.0,False
107,calumniator,anonymous_angelus.predicted_лем.csv,1.0,True
108,calcaneum,anonymous_angelus.predicted_лем.csv,1.0,True
109,calculus,anonymous_angelus.predicted_лем.csv,2.0,False
110,Callis,anonymous_angelus.predicted_лем.csv,2.0,False
111,calceamentum,anonymous_angelus.predicted_лем.csv,4.0,False
112,clamor,anonymous_angelus.predicted_лем.csv,4.0,False
113,clavus,anonymous_angelus.predicted_лем.csv,1.0,True
114,clauis,anonymous_angelus.predicted_лем.csv,3.0,False
115,campus,anonymous_angelus.predicted_лем.csv,3.0,False
116,camelus,anonymous_angelus.predicted_лем.csv,2.0,False
117,Chamus,anonymous_angelus.predicted_лем.csv,2.0,False
118,Caminus,anonymous_angelus.predicted_лем.csv,3.0,False
119,candelabrum,anonymous_angelus.predicted_лем.csv,3.0,False
120,candor,anonymous_angelus.predicted_лем.csv,5.0,False
121,Canistrus,anonymous_angelus.predicted_лем.csv,1.0,True
122,canalis,anonymous_angelus.predicted_лем.csv,1.0,True
123,canis,anonymous_angelus.predicted_лем.csv,5.0,False
124,caput,anonymous_angelus.predicted_лем.csv,3.0,False
125,capillus,anonymous_angelus.predicted_лем.csv,4.0,False
126,capitellum,anonymous_angelus.predicted_лем.csv,1.0,True
127,castellum,anonymous_angelus.predicted_лем.csv,1.0,True
128,capparis,anonymous_angelus.predicted_лем.csv,2.0,False
129,caprea,anonymous_angelus.predicted_лем.csv,2.0,False
130,capra,anonymous_angelus.predicted_лем.csv,1.0,True
131,carcer,anonymous_angelus.predicted_лем.csv,4.0,False
132,carus,anonymous_angelus.predicted_лем.csv,4.0,False
133,carmen,anonymous_angelus.predicted_лем.csv,3.0,False
134,Carmelus,anonymous_angelus.predicted_лем.csv,2.0,False
135,Cartilago,anonymous_angelus.predicted_лем.csv,2.0,False
136,Carectus,anonymous_angelus.predicted_лем.csv,1.0,True
137,carbunculus,anonymous_angelus.predicted_лем.csv,1.0,True
138,Caradion,anonymous_angelus.predicted_лем.csv,1.0,True
139,cardinis,anonymous_angelus.predicted_лем.csv,1.0,True
140,carbo,anonymous_angelus.predicted_лем.csv,2.0,False
141,craticula,anonymous_angelus.predicted_лем.csv,1.0,True
