File_1,File_2,Jaccard_Similarity
anonymous_angelus.predicted_лем.csv,alanus_de_insula_dist_summa.predicted_лем.csv,0.3116
anonymous_angelus.predicted_лем.csv,nicolas_de_gorran_distinctiones.predicted_лем.csv,0.0732
anonymous_angelus.predicted_лем.csv,guido_ebroicensis_summa.predicted_лем.csv,0.0199
anonymous_angelus.predicted_лем.csv,petrus_cantor_distinctiones.predicted_лем.csv,0.1142
anonymous_angelus.predicted_лем.csv,nicolas_de_biard-distinctiones.predicted_лем.csv,0.0849
anonymous_angelus.predicted_лем.csv,mauritius_hibernicus_distinctiones.predicted_лем.csv,0.1411
alanus_de_insula_dist_summa.predicted_лем.csv,nicolas_de_gorran_distinctiones.predicted_лем.csv,0.1068
alanus_de_insula_dist_summa.predicted_лем.csv,guido_ebroicensis_summa.predicted_лем.csv,0.0331
alanus_de_insula_dist_summa.predicted_лем.csv,petrus_cantor_distinctiones.predicted_лем.csv,0.1873
alanus_de_insula_dist_summa.predicted_лем.csv,nicolas_de_biard-distinctiones.predicted_лем.csv,0.1503
alanus_de_insula_dist_summa.predicted_лем.csv,mauritius_hibernicus_distinctiones.predicted_лем.csv,0.1804
nicolas_de_gorran_distinctiones.predicted_лем.csv,guido_ebroicensis_summa.predicted_лем.csv,0.0993
nicolas_de_gorran_distinctiones.predicted_лем.csv,petrus_cantor_distinctiones.predicted_лем.csv,0.1382
nicolas_de_gorran_distinctiones.predicted_лем.csv,nicolas_de_biard-distinctiones.predicted_лем.csv,0.1831
nicolas_de_gorran_distinctiones.predicted_лем.csv,mauritius_hibernicus_distinctiones.predicted_лем.csv,0.1614
guido_ebroicensis_summa.predicted_лем.csv,petrus_cantor_distinctiones.predicted_лем.csv,0.0345
guido_ebroicensis_summa.predicted_лем.csv,nicolas_de_biard-distinctiones.predicted_лем.csv,0.0551
guido_ebroicensis_summa.predicted_лем.csv,mauritius_hibernicus_distinctiones.predicted_лем.csv,0.0407
petrus_cantor_distinctiones.predicted_лем.csv,nicolas_de_biard-distinctiones.predicted_лем.csv,0.2175
petrus_cantor_distinctiones.predicted_лем.csv,mauritius_hibernicus_distinctiones.predicted_лем.csv,0.1684
nicolas_de_biard-distinctiones.predicted_лем.csv,mauritius_hibernicus_distinctiones.predicted_лем.csv,0.1507
