lemma,count
puer,14
iudicium,14
fons,14
mors,14
humilitas,14
rex,14
uita,14
spiritus,14
malus,14
filius,14
uinum,12
finis,12
pater,12
uo,12
gladius,12
terra,12
thesaurus,12
regnum,12
uia,12
iugum,12
fructus,12
aqua,12
facio,12
ignis,12
peccatum,12
aurum,12
ira,12
angelus,12
uinculum,12
labium,12
manus,12
uideo,12
confessio,12
anima,12
stella,12
oculus,12
odor,12
oleum,12
corona,12
lingua,12
zelus,12
curro,12
calix,12
ciuitas,12
gloria,12
lex,12
pax,12
agnus,12
domus,12
luna,12
Sol,12
uenio,12
ouis,12
Uirga,10
gradus,10
misericordia,10
unguentum,10
generatio,10
paradisus,10
panis,10
uinea,10
uigilo,10
canis,10
candor,10
os,10
pes,10
penitentia,10
quero,10
deus,10
semen,10
desertum,10
corpus,10
dies,10
statera,10
dominus,10
comedo,10
sanguis,10
sal,10
plenitudo,10
ebrietas,10
Columba,10
passio,10
uenter,10
/,10
templum,10
saluo,10
fames,10
opus,10
cibus,10
tempus,10
fenus,10
timor,10
fermentum,10
tribulatio,10
porta,10
mitto,10
teneo,10
lauo,10
seruus,10
mensa,10
